quantity,time,day,date,month,year
180,1035,Friday,30,1,2015
180,1036,Saturday,31,1,2015
180,1037,Sunday,1,2,2015
180,1038,Monday,2,2,2015
180,1039,Tuesday,3,2,2015
180,1040,Wednesday,4,2,2015
180,1041,Thursday,5,2,2015
180,1042,Friday,6,2,2015
180,1043,Saturday,7,2,2015
180,1044,Sunday,8,2,2015
180,1045,Monday,9,2,2015
180,1046,Tuesday,10,2,2015
180,1047,Wednesday,11,2,2015
180,1048,Thursday,12,2,2015
180,1049,Friday,13,2,2015
180,1050,Saturday,14,2,2015
180,1051,Sunday,15,2,2015
180,1052,Monday,16,2,2015
180,1053,Tuesday,17,2,2015
180,1054,Wednesday,18,2,2015
180,1055,Thursday,19,2,2015
180,1056,Friday,20,2,2015
180,1057,Saturday,21,2,2015
180,1058,Sunday,22,2,2015
180,1059,Monday,23,2,2015
180,1060,Tuesday,24,2,2015
180,1061,Wednesday,25,2,2015
180,1062,Thursday,26,2,2015
180,1063,Friday,27,2,2015
180,1064,Saturday,28,2,2015
180,1065,Sunday,1,3,2015
180,1066,Monday,2,3,2015
430,1067,Tuesday,3,3,2015
180,1068,Wednesday,4,3,2015
180,1069,Thursday,5,3,2015
180,1070,Friday,6,3,2015
180,1071,Saturday,7,3,2015
180,1072,Sunday,8,3,2015
180,1073,Monday,9,3,2015
180,1074,Tuesday,10,3,2015
180,1075,Wednesday,11,3,2015
180,1076,Thursday,12,3,2015
180,1077,Friday,13,3,2015
180,1078,Saturday,14,3,2015
180,1079,Sunday,15,3,2015
180,1080,Monday,16,3,2015
180,1081,Tuesday,17,3,2015
180,1082,Wednesday,18,3,2015
180,1083,Thursday,19,3,2015
180,1084,Friday,20,3,2015
180,1085,Saturday,21,3,2015
180,1086,Sunday,22,3,2015
180,1087,Monday,23,3,2015
180,1088,Tuesday,24,3,2015
180,1089,Wednesday,25,3,2015
80,1090,Thursday,26,3,2015
220,1091,Friday,27,3,2015
150,1092,Saturday,28,3,2015
150,1093,Sunday,29,3,2015
150,1094,Monday,30,3,2015
150,1095,Tuesday,31,3,2015
